id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
139,Adelie,Dream,39.7,17.9,193.0,4250.0,male,2009
181,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,male,2007
208,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008
148,Adelie,Dream,36.0,17.8,195.0,3450.0,female,2009
142,Adelie,Dream,32.1,15.5,188.0,3050.0,female,2009
200,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008
258,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,female,2009
143,Adelie,Dream,40.7,17.0,190.0,3725.0,male,2009
254,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,female,2009
35,Adelie,Dream,39.2,21.1,196.0,4150.0,male,2007
149,Adelie,Dream,37.8,18.1,193.0,3750.0,male,2009
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,2008
206,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,female,2009
264,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,female,2009
60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,2008
41,Adelie,Dream,40.8,18.4,195.0,3900.0,male,2007
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,2009
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,2008
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2008
249,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,female,2009
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,female,2009
46,Adelie,Dream,41.1,19.0,182.0,3425.0,male,2007
33,Adelie,Dream,40.9,18.9,184.0,3900.0,male,2007
246,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,female,2009
274,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,female,2009
94,Adelie,Dream,36.2,17.3,187.0,3300.0,female,2008
310,Chinstrap,Dream,49.7,18.6,195.0,3600.0,male,2008
8,Adelie,Torgersen,34.1,18.1,193.0,3475.0,,2007
49,Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007
271,Gentoo,Biscoe,,,,,,2009
178,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,2007
163,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,male,2007
90,Adelie,Dream,35.7,18.0,202.0,3550.0,female,2008
329,Chinstrap,Dream,50.7,19.7,203.0,4050.0,male,2009
288,Chinstrap,Dream,47.0,17.3,185.0,3700.0,female,2007
140,Adelie,Dream,40.2,17.1,193.0,3400.0,female,2009
